what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1608610542819
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1608610542862
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1608610542863
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1608610542918
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1608610542919
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1608610542946
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1608610542947
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1608610542965
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1608610542997
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1608610543007
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1608610543008
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1608610543045
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1608610543056
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1608610543074
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1608610543089
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1608610543089
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1608610543104
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1608610543134
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1608610543135
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1608610543135
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1608610543136
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1608610543153
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1608610543174
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1608610543183
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1608610543197
os,sysinfo,,,"win32",1608610543200
arch,sysinfo,,,"x86_64",1608610543200
ws,sysinfo,,,"win32",1608610543200
locale,sysinfo,,,"en_US",1608610543200
processors,sysinfo,,,"4",1608610543200
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1608610543200
java.runtime.version,sysinfo,,,"1.8.0_261-b12",1608610543200
java.specification.name,sysinfo,,,"Java Platform API Specification",1608610543200
java.specification.vendor,sysinfo,,,"Oracle Corporation",1608610543200
java.specification.version,sysinfo,,,"1.8",1608610543200
java.vendor,sysinfo,,,"Oracle Corporation",1608610543200
java.version,sysinfo,,,"1.8.0_261",1608610543200
java.vm.info,sysinfo,,,"mixed mode",1608610543200
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1608610543200
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1608610543200
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1608610543200
java.vm.specification.version,sysinfo,,,"1.8",1608610543200
java.vm.vendor,sysinfo,,,"Oracle Corporation",1608610543200
java.vm.version,sysinfo,,,"25.261-b12",1608610543200
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1608610543237
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1608610543428
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1608610543958
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1608610544119
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1608610544494
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1608610544723
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1608610545061
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1608610545096
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1608610545721
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1608610555927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610562719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610582807
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1608610586157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610588922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610604283
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608610604669
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608610604809
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1608610611065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610617421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610633148
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608610633285
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608610633404
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1608610641991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610657861
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610659483
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1608610659558
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608610661630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608610715862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608611637336
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608611639934
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608611641062
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1608611659055
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1608611659117
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1608611659210
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1608611659288
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1608611659316
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1608611659411
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1608611659444
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1608611659535
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1608611659538
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1608611659780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608611662096
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608611664235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608611665565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608611687606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608611691739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608611691902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1608611694562
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1608611694757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1608611697033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608611702484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608611745538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608611745703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608611747756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608611750034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608611751165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608611774046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608611776593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612072923
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1608612074551
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608612085111
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608612085199
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1608612098970
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1608612099980
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1608612100068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612100522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612100532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612108132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612109829
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1608612109918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612134554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612135944
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1608612135990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1608612146707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1608612147175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608612148418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1608612166486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1608612169194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608612173787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608612177360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608612182018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1608612186955
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608612190236
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608612228755
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608612231552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612237833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612241619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612288071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608612288259
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608612300360
