what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1608694841655
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1608694841656
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1608694841657
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1608694841657
os,sysinfo,,,"win32",1608694841661
arch,sysinfo,,,"x86_64",1608694841661
ws,sysinfo,,,"win32",1608694841661
locale,sysinfo,,,"en_US",1608694841661
processors,sysinfo,,,"4",1608694841661
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1608694841661
java.runtime.version,sysinfo,,,"1.8.0_261-b12",1608694841661
java.specification.name,sysinfo,,,"Java Platform API Specification",1608694841661
java.specification.vendor,sysinfo,,,"Oracle Corporation",1608694841661
java.specification.version,sysinfo,,,"1.8",1608694841661
java.vendor,sysinfo,,,"Oracle Corporation",1608694841661
java.version,sysinfo,,,"1.8.0_261",1608694841661
java.vm.info,sysinfo,,,"mixed mode",1608694841661
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1608694841661
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1608694841661
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1608694841661
java.vm.specification.version,sysinfo,,,"1.8",1608694841661
java.vm.vendor,sysinfo,,,"Oracle Corporation",1608694841661
java.vm.version,sysinfo,,,"25.261-b12",1608694841661
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1608694842159
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1608694842269
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1608694842422
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1608694842455
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1608694843132
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1608694843808
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1608694843965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608694857267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608694884235
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1608694887754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608694891350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608694908620
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608694908887
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1608694909011
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1608694912016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608695068202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1608695076082
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1608695076179
